Timestamp,Customer_ID,From_Account,To_Account,Amount,Transfer_Type,Bank_Country,Decision,Risk_Score,Reasons,Transaction_ID,User_Action,Actioned_By,Action_Timestamp,Action_Comments
2026-01-28T14:31:56.186390,1000016,11000016019,AE040570000011049381015,500.3,I,UAE,REQUIRES_USER_APPROVAL,-0.0529068269691732,New beneficiary detected - first time transaction to this recipient requires approval,txn_ef57896d,APPROVED,1000016.0,2026-01-28T14:51:32.595109,"Yes, this is my transaction"
2026-01-28T14:33:06.170048,1000016,11000016019,AE040570000011049381018,500.3,I,UAE,APPROVED,-0.0632931789630825,,txn_dde14a8a,PENDING,,,
2026-01-28T14:33:12.172777,1000016,11000016019,AE040570000011049381017,500.3,I,UAE,REQUIRES_USER_APPROVAL,-0.0529068269691732,New beneficiary detected - first time transaction to this recipient requires approval,txn_85a7d486,PENDING,,,
2026-01-28T14:33:34.730679,1000016,11000016019,AE040570000011049381017,500.0,I,UAE,REQUIRES_USER_APPROVAL,-0.0529068269691732,New beneficiary detected - first time transaction to this recipient requires approval,txn_d5d1c355,PENDING,,,
2026-01-28T14:39:43.308039,1000016,11000016019,AE040570000011049381017,500.0,I,UAE,REQUIRES_USER_APPROVAL,-0.0529068269691732,New beneficiary detected - first time transaction to this recipient requires approval,txn_1f6977fc,PENDING,,,
2026-01-28T14:41:41.022233,1000016,11000016019,AE040570000011049381017,500.0,I,UAE,REQUIRES_USER_APPROVAL,-0.0529068269691732,New beneficiary detected - first time transaction to this recipient requires approval,txn_51b7abd5,PENDING,,,
2026-01-28T14:50:57.280844,1000016,11000016019,AE040570000011049381017,500.0,I,UAE,REQUIRES_USER_APPROVAL,-0.0529068269691732,New beneficiary detected - first time transaction to this recipient requires approval,txn_86c98be8,PENDING,,,
2026-01-28T14:52:58.543022,1000016,11000016019,AE040570000011049381018,3847.63,I,UAE,APPROVED,-0.0632931789630825,,txn_23e34186,PENDING,,,
2026-01-28T14:56:45.316182,1000016,11000016019,AE040570000011049381018,8500.0,S,USA,APPROVED,-0.0632931789630825,,txn_d23610e7,PENDING,,,
2026-01-28T14:57:01.523314,1000016,11000016019,AE040570000011049381018,85.0,S,USA,APPROVED,-0.0632931789630825,,txn_5b500cc0,PENDING,,,
2026-01-28T14:57:04.485070,1000016,11000016019,AE040570000011049381018,85.0,S,USA,APPROVED,-0.0632931789630825,,txn_a2c904b9,PENDING,,,
2026-01-28T14:57:07.221999,1000016,11000016019,AE040570000011049381018,85.0,S,USA,APPROVED,-0.0632931789630825,,txn_90318c45,PENDING,,,
2026-01-28T14:57:09.626933,1000016,11000016019,AE040570000011049381018,85.0,S,USA,APPROVED,-0.0632931789630825,,txn_4d5fdcac,PENDING,,,
2026-01-28T14:57:11.837416,1000016,11000016019,AE040570000011049381018,85.0,S,USA,APPROVED,-0.0632931789630825,,txn_2ee7f138,PENDING,,,
2026-01-28T14:57:14.206069,1000016,11000016019,AE040570000011049381018,85.0,S,USA,APPROVED,-0.0632931789630825,,txn_67adb0d9,PENDING,,,
2026-01-28T14:57:16.439801,1000016,11000016019,AE040570000011049381018,85.0,S,USA,APPROVED,-0.0632931789630825,,txn_73ef0851,PENDING,,,
2026-01-29T06:25:54.126009,1000016,11000016019,AE040570000011049381018,85.0,S,USA,APPROVED,-0.0632931789630825,,txn_09dcb472,PENDING,,,
2026-01-29T06:27:30.673702,1000016,11000016019,AE040570000011049381018,85.0,S,USA,APPROVED,-0.0632931789630825,,txn_a3dbca2c,PENDING,,,
2026-01-29T06:27:32.292207,1000016,11000016019,AE040570000011049381018,85.0,S,USA,APPROVED,-0.0632931789630825,,txn_37351ec4,PENDING,,,
2026-01-29T06:27:33.921797,1000016,11000016019,AE040570000011049381018,85.0,S,USA,APPROVED,-0.0632931789630825,,txn_f983c579,PENDING,,,
2026-01-29T06:27:35.719968,1000016,11000016019,AE040570000011049381018,85.0,S,USA,APPROVED,-0.0632931789630825,,txn_b5754f5c,PENDING,,,
2026-01-29T06:27:37.297928,1000016,11000016019,AE040570000011049381018,85.0,S,USA,APPROVED,-0.0632931789630825,,txn_dda7fd9f,PENDING,,,
2026-01-29T06:40:48.936470,1000016,11000016019,AE040570000011049381018,85.0,S,USA,APPROVED,-0.0632931789630825,,txn_e7362506,PENDING,,,
2026-01-29T06:40:51.626861,1000016,11000016019,AE040570000011049381018,85.0,S,USA,APPROVED,-0.0632931789630825,,txn_a08c3568,PENDING,,,
2026-01-29T06:40:54.075681,1000016,11000016019,AE040570000011049381018,85.0,S,USA,APPROVED,-0.0632931789630825,,txn_40bca531,PENDING,,,
